maker_org_id,label,group_code,value_code,top_code,section,work_by,unit,qty,unit_price,sort_order,active,memo
ORG_BRAIN,기본(Basic) 트림,TRIM,TRIM_BASIC,,OPTION,EVN,EA,1,,1,Y,차량은 갑이 을에게 지급(계약 제7조)
ORG_BRAIN,플러스(Plus) 트림,TRIM,TRIM_PLUS,,OPTION,EVN,EA,1,,2,Y,차량은 갑이 을에게 지급(계약 제7조)
ORG_BRAIN,STEGO K1 저상형,BODYTYPE,BODY_REEFER,TOP_LOW,BASE,MAKER,SET,1,6700000,10,Y,2026-07-29 계약 별첨1
ORG_BRAIN,STEGO K1 표준형,BODYTYPE,BODY_REEFER,TOP_STD,BASE,MAKER,SET,1,6900000,11,Y,2026-07-29 계약 별첨1
ORG_BRAIN,STEGO K1 저상형(내장),BODYTYPE,BODY_DRY,TOP_LOW,BASE,MAKER,SET,1,,12,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,STEGO K1 표준형(내장),BODYTYPE,BODY_DRY,TOP_STD,BASE,MAKER,SET,1,,13,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,저상,TOP,TOP_LOW,,OPTION,NONE,EA,1,,14,Y,기본형을 정하는 축 — 별도 품목이 아니다
ORG_BRAIN,표준,TOP,TOP_STD,,OPTION,NONE,EA,1,,15,Y,기본형을 정하는 축 — 별도 품목이 아니다
ORG_BRAIN,여닫이 도어,DOORTYPE,DOOR_SWING,,OPTION,NONE,EA,1,,20,Y,기본형에 포함(계약 별첨2 사양서)
ORG_BRAIN,슬라이딩 도어 변경,DOORTYPE,DOOR_SLIDE,TOP_LOW,OPTION,MAKER,EA,2,275000,21,Y,2026-07-29 계약 별첨1 · 좌·우 2개
ORG_BRAIN,슬라이딩 도어 변경,DOORTYPE,DOOR_SLIDE,TOP_STD,OPTION,MAKER,EA,2,295000,22,Y,2026-07-29 계약 별첨1 · 좌·우 2개
ORG_BRAIN,냉동/냉장 미닫이 도어,DOORTYPE,DOOR_EVSLIDE,,OPTION,MAKER,EA,2,,23,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,미닫이 도어,DOORTYPE,DOOR_COUPANG,,OPTION,MAKER,EA,2,,24,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,도어 추가 없음,DOORADD,ADD_NONE,,OPTION,NONE,EA,1,,30,Y,고르지 않은 것과 같다
ORG_BRAIN,운전석 스윙도어,DOORADD,ADD_DRIVER,TOP_LOW,OPTION,MAKER,EA,1,480000,31,Y,2026-07-29 계약 별첨1
ORG_BRAIN,운전석 스윙도어,DOORADD,ADD_DRIVER,TOP_STD,OPTION,MAKER,EA,1,520000,32,Y,2026-07-29 계약 별첨1
ORG_BRAIN,온도기록계 없음,TEMP,TEMP_X,,OPTION,NONE,EA,1,,40,Y,고르지 않은 것과 같다
ORG_BRAIN,온도기록계 장착,TEMP,TEMP_O,,OPTION,MAKER,EA,1,,41,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,격벽 없음,PARTITION,PART_NONE,,OPTION,NONE,EA,1,,50,Y,고르지 않은 것과 같다
ORG_BRAIN,격벽(그물망),PARTITION,PART_NET,TOP_LOW,OPTION,MAKER,EA,1,65000,51,Y,2026-07-29 계약 별첨1
ORG_BRAIN,격벽(그물망),PARTITION,PART_NET,TOP_STD,OPTION,MAKER,EA,1,65000,52,Y,2026-07-29 계약 별첨1
ORG_BRAIN,격벽(냉동/냉장 이동식),PARTITION,PART_REEFER,,OPTION,MAKER,EA,1,,53,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,스포일러 없음,SPOILER,SPOILER_X,,OPTION,NONE,EA,1,,60,Y,고르지 않은 것과 같다
ORG_BRAIN,스포일러,SPOILER,SPOILER_O,,OPTION,MAKER,EA,1,,61,Y,계약 단가표에 없음 — 배정 때 적는다
ORG_BRAIN,데칼 없음,DECAL,DECAL_X,,OPTION,NONE,EA,1,,70,Y,고르지 않은 것과 같다
ORG_BRAIN,데칼,DECAL,DECAL_O,,OPTION,EVN,EA,1,,71,Y,분류 확인 필요 — 그룹이 아직 꺼져 있다
ORG_BRAIN,썬팅 없음,TINT,TINT_X,,OPTION,NONE,EA,1,,72,Y,고르지 않은 것과 같다
ORG_BRAIN,썬팅,TINT,TINT_O,,OPTION,EVN,EA,1,,73,Y,분류 확인 필요 — 그룹이 아직 꺼져 있다
ORG_BRAIN,블랙박스 없음,BLACKBOX,BLACKBOX_X,,OPTION,NONE,EA,1,,74,Y,고르지 않은 것과 같다
ORG_BRAIN,블랙박스,BLACKBOX,BLACKBOX_O,,OPTION,EVN,EA,1,,75,Y,분류 확인 필요 — 그룹이 아직 꺼져 있다
ORG_BRAIN,지급품 키트 없음,SUPPLYKIT,SUPPLYKIT_X,,OPTION,NONE,EA,1,,76,Y,고르지 않은 것과 같다
ORG_BRAIN,지급품 키트,SUPPLYKIT,SUPPLYKIT_O,,OPTION,EVN,EA,1,,77,Y,분류 확인 필요 — 그룹이 아직 꺼져 있다
